Country,2023,2024,2025
Afghanistan,17248,null,null
Albania,23388,27259,28372
Algeria,247789,264913,268885
Andorra,3786,4038,4035
Angola,109764,115946,113343
Antigua and Barbuda,2006,2225,2373
Argentina,645511,632145,683533
Armenia,24086,25533,26258
Aruba,3649,3952,4100
Australia,1742461,1796805,1771681
Austria,512509,521269,534301
Azerbaijan,72428,74316,78870
Bahamas,14338,14761,15178
Bahrain,46192,46943,47829
Bangladesh,451534,451096,467218
Barbados,6721,7167,7552
Belarus,71792,71180,71561
Belgium,644968,664965,684864
Belize,3067,3427,3611
Benin,19679,21249,22236
Bhutan,2923,3092,3422
Bolivia,45464,48404,56339
Bosnia and Herzegovina,27592,28795,28807
Botswana,19411,19356,19400
Brazil,2191137,2171337,2125958
Brunei,15095,15463,16007
Bulgaria,102434,112232,117007
Burkina Faso,21181,23975,27056
Burundi,4246,4743,6745
Cape Verde,2588,2726,2786
Cambodia,43304,47328,49799
Cameroon,49283,52784,56011
Canada,2173340,2241253,2225341
Central African Republic,2602,2831,2932
Chad,18343,19078,18792
Chile,335627,330210,343823
China,18270351,18748009,19231705
Colombia,366292,418542,427766
Comoros,1335,1456,1548
Democratic Republic of the Congo,64402,71011,79119
Republic of the Congo,14169,14893,15281
Costa Rica,86509,95365,102591
Ivory Coast,79630,87096,94483
Croatia,84416,92506,98951
Cyprus,33897,36156,38736
Czech Republic,343207,344931,360244
Denmark,407092,429458,449940
Djibouti,3917,4257,4587
Dominica,654,697,742
Dominican Republic,120794,124613,127828
Ecuador,121147,121728,125677
Egypt,393828,383109,347342
El Salvador,34016,35337,36749
Equatorial Guinea,12339,12544,12684
Eritrea,null,null,null
Estonia,41303,42752,45004
Eswatini,4858,5199,5483
Ethiopia,159761,143123,117457
Fiji,5442,5949,6257
Finland,295036,298833,303945
France,3056880,3162023,3211292
Gabon,20059,20774,20391
Gambia,2345,2558,2771
Georgia,30778,33775,35353
Germany,4527009,4658526,4744804
Ghana,80547,82825,88332
Greece,243569,257067,267348
Grenada,1325,1392,1464
Guatemala,104436,112575,121177
Guinea,22750,25758,30094
Guinea-Bissau,2005,2184,2274
Guyana,16919,24659,25822
Haiti,19603,26229,33548
Honduras,34229,36965,38172
Hong Kong,381066,407107,423999
Hungary,214098,223060,237070
Iceland,31452,33463,35309
India,3638490,3909097,4187017
Indonesia,1371169,1396300,1429743
Iran,372820,401357,341013
Iraq,270799,277478,258020
Ireland,551554,577216,598840
Israel,512185,540381,583361
Italy,2305271,2372059,2422855
Jamaica,19315,20069,21411
Japan,4213167,4026211,4186431
Jordan,51161,53428,56102
Kazakhstan,261840,284810,300538
Kenya,108747,120899,131673
Kiribati,289,308,312
South Korea,1839058,1869714,1790322
Kosovo,10470,11151,11274
Kuwait,163716,158568,153101
Kyrgyzstan,15187,17491,19849
Laos,14978,15879,16322
Latvia,42584,43508,45535
Lebanon,23607,28280,null
Lesotho,2213,2309,2404
Liberia,4390,4818,5166
Libya,43958,42159,47484
Lithuania,79824,84847,89192
Luxembourg,87599,93169,96613
Macau,45802,50182,53354
Madagascar,15870,17420,18708
Malawi,13439,11797,13959
Malaysia,399705,419617,444984
Maldives,6581,7019,7480
Mali,21184,22724,23208
Malta,22217,24315,25750
Marshall Islands,259,280,297
Mauritania,10649,10697,11470
Mauritius,14101,14953,15495
Mexico,1793799,1852723,1692640
Federated States of Micronesia,444,471,500
Moldova,16751,18126,19462
Mongolia,20315,23586,25804
Montenegro,7532,8023,8562
Morocco,144438,155350,165835
Mozambique,20954,21944,23771
Myanmar,61466,61176,64944
Namibia,12402,13370,14214
Nauru,152,161,169
Nepal,40907,43419,46080
Netherlands,1154694,1227174,1272011
New Zealand,253436,257728,248666
Nicaragua,17820,19710,21155
Niger,16809,19866,21874
Nigeria,363816,187640,188271
North Macedonia,15772,16679,17885
Norway,482950,483727,504276
Oman,105896,106943,104351
Pakistan,337754,373078,null
Palau,275,306,333
Panama,83382,87688,91675
Papua New Guinea,30729,31654,32835
Paraguay,43118,43989,45465
Peru,267482,289070,303293
Philippines,437055,461617,497495
Poland,809706,908583,979960
Portugal,289781,308590,321440
Puerto Rico,117902,120978,122522
Qatar,213003,221452,222776
Romania,350847,384148,403395
Russia,2059762,2161205,2076396
Rwanda,14331,14251,14771
Samoa,938,1068,1160
San Marino,2003,2063,2047
São Tomé and Príncipe,684,796,864
Saudi Arabia,1067583,1085358,1083749
Senegal,30625,32892,34728
Serbia,81343,89074,92549
Seychelles,2187,2168,2198
Sierra Leone,6397,7653,8386
Singapore,505440,547387,564774
Slovakia,132947,140636,147031
Slovenia,69168,72463,75224
Solomon Islands,1661,1777,1898
Somalia,10969,12134,12994
South Africa,380592,400191,410338
South Sudan,7186,5423,3998
Spain,1620558,1722227,1799511
Sri Lanka,83723,98964,null
Saint Kitts and Nevis,1056,1117,1129
Saint Lucia,2430,2523,2632
Saint Vincent and the Grenadines,1071,1162,1242
Sudan,36998,28270,31506
Suriname,3445,4458,4506
Sweden,585490,610118,620297
Switzerland,894867,936738,947125
Syria,null,null,null
Taiwan,757335,782441,804889
Tajikistan,11854,13544,14836
Tanzania,79138,80171,85977
Thailand,515906,526411,546224
Timor-Leste,2080,2015,2115
Togo,9081,9776,10023
Tonga,512,539,568
Trinidad and Tobago,25489,25524,26467
Tunisia,48541,53063,56291
Turkey,1130062,1322405,1437406
Turkmenistan,77876,82515,89054
Tuvalu,63,65,65
Uganda,51934,56453,64277
Ukraine,178763,190426,205742
United Arab Emirates,514130,537079,548598
United Kingdom,3371118,3644636,3839180
United States,27720725,29184900,30507217
Uruguay,77997,80961,79731
Uzbekistan,102634,114962,132484
Vanuatu,1158,1206,1267
Venezuela,102377,119808,108511
Vietnam,433008,459472,490970
Palestine,17848,null,null
Yemen,19412,19101,17401
Zambia,27578,26326,28910
Zimbabwe,35144,35224,38172
